run_id,scenario,seed,tau_d,cyc_h,Twake,sigma,pRevert,wound_start_h,wound_freq_h,wound_size,wounds_inflicted,stop_threshold,check_every_h,wounding_stops_on_threshold,clone_established_at_h,target_hours,elapsed_h,final_clone_size,final_cells_total,final_density,final_clone_frac,final_burden,rev_total,rev_lost,shed_total,div_total
23,none,23,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,16,3156,0.5256495669553631,0.005069708491761723,99,409,8331,554326,559809
30,none,30,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,5,3252,0.5416389073950699,0.0015375153751537515,37,431,8632,549810,555690
20,none,20,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,14112.0,20000,20000.0,115,3209,0.534477015323118,0.035836709255219694,272,415,9619,591969,598793
22,none,22,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,128,3215,0.5354763491005996,0.03981337480559875,313,457,8670,548170,554051
29,none,29,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,8,3187,0.5308127914723517,0.0025101976780671476,131,417,7048,530700,534931
34,none,34,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,390,3277,0.545802798134577,0.1190112908147696,468,417,10199,624337,631809
33,none,33,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,258,3242,0.5399733510992671,0.0795805058605799,321,436,6756,521865,525859
44,none,44,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,10,3331,0.5547968021319121,0.003002101471029721,47,422,6754,545589,549670
32,none,32,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,148,3332,0.5549633577614923,0.04441776710684274,274,422,10421,584895,592644
38,none,38,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,4,3302,0.549966688874084,0.0012113870381586917,37,433,6312,512352,515962
45,none,45,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,10,3305,0.5504663557628248,0.0030257186081694403,76,431,9342,558669,565312
43,none,43,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,5,3321,0.5531312458361093,0.0015055706112616681,36,411,7757,545360,550434
36,none,36,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,51,3312,0.5516322451698867,0.015398550724637682,136,444,7778,528222,533308
35,none,35,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,2,3387,0.5641239173884077,0.000590493061706525,23,439,5321,499604,502308
40,none,40,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,24,3389,0.5644570286475683,0.007081735025081145,85,420,6569,510417,514371
47,none,47,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,17280.0,20000,20000.0,815,3242,0.5399733510992671,0.2513880320789636,877,393,10068,645706,653012
42,none,42,6.0,15.0,1.08,0.85,0.001,,,,0,500,24.0,False,,20000,20000.0,52,3213,0.535143237841439,0.016184251478369126,98,432,6443,518935,522587
